Nom du lieu,Catégorie,Statut,Adresse,URL Google Maps,Photos,Informations,Site web,Testé le,Latitude,Longitude
Librairie Les Mots à la Bouche,Emplettes,À faire,"37 Rue Saint-Ambroise, 75011 Paris",https://maps.app.goo.gl/T9T8ad1rYAC2cxUK6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFy2BKLZu1Tu0EzuCOxZdy8KKMvQX4k2HBRkXLqfqxzOqoFJh_idekPj21esIwy2dvyGxPeSWspp6AE4fSvHEzlAjrOOqVPWa4qd-QIplQI8Xzwf_9mM0r9x1-yAPAbeKKKLfJ7_RMKtwRf=w408-h306-k-no,Librairie LGBTQ+,,,48.862944,2.378992
Quartier de la Mouzaïa,Au vert,À faire,"Place Rhin et Danube, 75019 Paris",https://maps.app.goo.gl/eYPSZ55JCv4WwMr89,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEDY5K7jEHrtZyyx-UpN5hHeYTU03bJ6WFjQDljkDbDMXKnz-hRRAJokwv-8xAEM10H6fPSNT4FX7xCBJCTokZKFf9PppkLGxjqJOZ2avV4yDiYX1hXPP90yamSrt91imrQLl4gKw=w408-h459-k-no,,,,48.880948,2.393179
MERSIN,À boire & à manger,À faire,"123 Av. Simon Bolivar, 75019 Paris",https://maps.app.goo.gl/m5REuAkndX6phs9YA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFqaBVy3Nw1aTzqAnLCak2ex39qO7Xtl0IwKahR83y2RMi-36_egmuALPRLEvw2mkvkD_08pzzbGI729ex10IXZB5iMDRgauY6H3UwFQcYyPlsD-lGeW_GBJLwD0XgbQy7tO9GJBfpuGWk=w408-h544-k-no,Fast-food turc,https://www.mersinparis.fr/,,48.88059,2.373985
Gelateria La Romana,À boire & à manger,À faire,"14 Bd Saint-Michel, 75006 Paris",https://maps.app.goo.gl/qs52vZPCYgfsMn28A,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHH6ldty1NEcD1NvTfYZACujyf2pv2DcswnQmvUe89m1lKT73o2nk-FE262eSaRgw8H3YZDOglXOIhrqil25O6bUBmThhe7RhpbLR_I9gw5Bz6GUgIUHNqrTiC6oC-ctqbGgZPivA=w408-h306-k-no,Glaces italiennes artisanales,https://romana-paris.webflow.io/,,48.85218,2.343454
La Guinguette des Traverses,À boire & à manger,À faire,"Porte des Poissonniers, 75018 Paris",https://maps.app.goo.gl/PXk7hq4sUbGQvy8q7,https://lh3.googleusercontent.com/gps-cs-s/APNQkAGEXWDWhkSYXVYLnxYk4lvrisSzbvpuBbIygIMIUsooir4fJ-ngiipjBt0aIsrTYm3DwsSsCulZXd4CVXB6zNoXyKbXM2LacaVgh5mgB55eZWQlzJJLcUaWi5TpFhp8ZsMvEICHY2Pposs=s1360-w1360-h1020-rw,Terrasses de la Petite Ceinture,https://www.lehasardludique.paris/la-cantine-creative,,48.898094,2.352527
Le Hasard Ludique,À boire & à manger,À faire,"128 Av. de Saint-Ouen, 75018 Paris",https://maps.app.goo.gl/6oyUzBcQdn8nfmRZA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAFeFHcYy7xbYdkFjN1BESaOri30onLtS8hjFgB96Fx2ZylAf5sMocVZ51PDdhLKM7g_sEiI03EbXWQWjDj_FAUvHTwJFvm9gcWV5T0dXkDTngGLTIGyb8-u6JD0yWy-j_mAaHJeRg=w408-h272-k-no,Terrasses de la Petite Ceinture,https://www.lehasardludique.paris/la-cantine-creative,,48.895704,2.328529
La REcyclerie,À boire & à manger,À faire,"83 Bd Ornano, 75018 Paris",https://maps.app.goo.gl/wbj4YJrfRGBRXdXT8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHbDk9yyx0dLuH24E6D8-y7Px1XbLoZfqmYZpjIPMydDOC8s7wk0Yz34P0uQIrEuukhlLELtw5UdFc3OJboBWxAh6KLLjqILn6KH9DDF7X-h8k73sYwafLAvBcDBjdqgWDhrMHr=w408-h272-k-no,Terrasses de la Petite Ceinture,http://www.larecyclerie.com/,,48.897604,2.344223
Voie 15,À boire & à manger,À faire,"397 Bis Rue de Vaugirard, 75015 Paris",https://maps.app.goo.gl/7q5gM835gmnsDYkj8,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEnJVe_NYdHucP5-jeKgPQq-YTfVvDssol4zYfn17Zn_pttgO_oXscEc9qPJ8Fx5lMPRz2NlNAX_RgWFBffi-FQlTuvg-2kzd2AcrNyq-OCj8WrnQ07P8mZJWdQ5Xj5vZEoytwc=w408-h271-k-no,Terrasses de la Petite Ceinture,http://voie15.paris/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=8889759515094925154,,48.833526,2.289848
Passage à Niveau,À boire & à manger,À faire,"2A Rue de l'Ourcq, 75019 Paris",https://maps.app.goo.gl/WaDAoJadLHRrq1wq6,https://lh3.googleusercontent.com/gps-cs-s/APNQkAEF4iMRtIt1t9SFMKhbw8R9ao1QjZf8KSorVaWUwX3y5Ut9IaEXFlIEeG5mLqPKvgGMNgAAcSQugDlQaBPGw9QymYav7liJA-rnx_zG76U7da2EAF7rcDtc9rgK14QblNzHzBh7DRah6JS3=w435-h240-k-no,Terrasses de la Petite Ceinture,,,48.887627,2.385123
Les Jardins du Ruisseau,Au vert,À faire,"Rue du Ruisseau, 75018 Paris",https://maps.app.goo.gl/MEkVv6nV7YNJh7yHA,https://lh3.googleusercontent.com/gps-cs-s/APNQkAHmneOifuPfnj56DWu3A-HZ1wJNPlkHM05E1nfV_X7ne38-95LdDkJAT7Q27125gnSdhHAZ5FKhsxMCYiO-0xQyIehbYtx27_VmyPjzEWGC-TJr_KFfwjh4xDUF-MiNILKcSN-uNqcy1OB7=w412-h240-k-no,Sur la Petite Ceinture,http://www.lesjardinsduruisseau.fr/,,48.897553,2.342596
